uid,namedLocation,domainID,siteID,plotID,trapID,setDate,collectDate,processingDate,identifiedDate,subsampleID,individualID,taxonID,scientificName,taxonRank,identificationQualifier,scientificNameAuthorship,morphospeciesID,identificationReferences,totalLength,identifiedBy,recordedBy,remarks
"4c0edba0-aabb-46d7-b422-c977ad91a90f","SCBI_010.basePlot.bet","D02","SCBI","SCBI_010","E","2015-04-28","2015-05-12","2016-04-25","2015-05-27","6yi0mRc5GEKiw9QRCygipEGCkk0xnmAG9R3d5QOl660=","NEON.BET.D02.002544","NOTAEN","Notiophilus aeneus","species",,"Herbst",,"Bousquet, Y. 2010b. Illustrated Identification Guide to Adults and Larvae of Northeastern North American Ground Beetles (Coleoptera: Carabidae). 1st Ed. Pensoft Publishers, Sofia, Bulgaria.",,"wYCqaZcA+7tKZqVSOMaNBCcRKvQIOBzP","wYCqaZcA+7tKZqVSOMaNBCcRKvQIOBzP",
"92af5cb2-3ea3-431e-b3c9-b0506c296cb3","SCBI_002.basePlot.bet","D02","SCBI","SCBI_002","E","2015-04-28","2015-05-12","2016-06-02","2015-06-05","NTl2q/XFbjxxk0NSrvvJwO387nuOrhvNu/D05qsayQQ=","NEON.BET.D02.002900","TRIAUT","Trichotichnus autumnalis","species",,"Say",,"Ciegler, J. C. 2000. Ground beetles and wrinkled bark beetles of South Carolina (Coleoptera: Geadephaga: Carabidae and Rhysodidae). Biota of South Carolina. Vol. 1. Clemson, S. Clemson University.",,"wYCqaZcA+7tKZqVSOMaNBCcRKvQIOBzP","wYCqaZcA+7tKZqVSOMaNBCcRKvQIOBzP",
"cd067499-ae38-4fa2-82dd-ccb43d38db95","SCBI_004.basePlot.bet","D02","SCBI","SCBI_004","N","2015-04-28","2015-05-12","2016-04-27","2015-06-05","ZCodyo9yj6286/2SN8Mad/Q3A34swopz2ijH4s7V1YM=","NEON.BET.D02.002750","DICDIL1","Dicaelus dilatatus dilatatus","subspecies",,"Say",,"Ciegler, J. C. 2000. Ground beetles and wrinkled bark beetles of South Carolina (Coleoptera: Geadephaga: Carabidae and Rhysodidae). Biota of South Carolina. Vol. 1. Clemson, S. Clemson University.",,"wYCqaZcA+7tKZqVSOMaNBCcRKvQIOBzP","wYCqaZcA+7tKZqVSOMaNBCcRKvQIOBzP",
"83e4f42e-45a6-475a-b4a6-714b20276ce5","SCBI_005.basePlot.bet","D02","SCBI","SCBI_005","S","2015-04-28","2015-05-12","2016-05-02","2015-06-08","2MbaqPQFAm4RqvKqMmR5FUI1zZmUU02HU3/lZ2HOYtk=","NEON.BET.D02.002762","ANIMEL","Anisodactylus melanopus","species",,"Haldeman",,"Bousquet, Y. 2010b. Illustrated Identification Guide to Adults and Larvae of Northeastern North American Ground Beetles (Coleoptera: Carabidae). 1st Ed. Pensoft Publishers, Sofia, Bulgaria.",,"wYCqaZcA+7tKZqVSOMaNBCcRKvQIOBzP","wYCqaZcA+7tKZqVSOMaNBCcRKvQIOBzP",
"56154e92-a498-45db-a4ad-eea413e5a615","SCBI_008.basePlot.bet","D02","SCBI","SCBI_008","S","2015-04-28","2015-05-12","2016-04-27","2015-06-01","BDl2KAs5Zr2uFlAO9rT1CoUieKlwQouvj9Heg7dmwsA=","NEON.BET.D02.002719","CHLEMA","Chlaenius emarginatus","species",,"Say",,"Ciegler, J. C. 2000. Ground beetles and wrinkled bark beetles of South Carolina (Coleoptera: Geadephaga: Carabidae and Rhysodidae). Biota of South Carolina. Vol. 1. Clemson, S. Clemson University.",,"wYCqaZcA+7tKZqVSOMaNBCcRKvQIOBzP","wYCqaZcA+7tKZqVSOMaNBCcRKvQIOBzP",
"0fceedb4-3da3-4ff5-a4ff-55399e427aa4","SCBI_007.basePlot.bet","D02","SCBI","SCBI_007","S","2015-04-28","2015-05-12","2016-04-25","2015-05-28","tckDqTjQv3gI17OVDNAsDtDUbV4rFLZ5xWry3pOdU+w=","NEON.BET.D02.002559","CARGOR","Carabus goryi","species",,"Dejean",,"Ciegler, J. C. 2000. Ground beetles and wrinkled bark beetles of South Carolina (Coleoptera: Geadephaga: Carabidae and Rhysodidae). Biota of South Carolina. Vol. 1. Clemson, S. Clemson University.",,"wYCqaZcA+7tKZqVSOMaNBCcRKvQIOBzP","wYCqaZcA+7tKZqVSOMaNBCcRKvQIOBzP",
"de05434e-ded7-42e1-aadb-25ee38ffe8a1","SCBI_007.basePlot.bet","D02","SCBI","SCBI_007","S","2015-04-28","2015-05-12","2016-04-25","2015-05-28","tckDqTjQv3gI17OVDNAsDtDUbV4rFLZ5xWry3pOdU+w=","NEON.BET.D02.002558","CARGOR","Carabus goryi","species",,"Dejean",,"Ciegler, J. C. 2000. Ground beetles and wrinkled bark beetles of South Carolina (Coleoptera: Geadephaga: Carabidae and Rhysodidae). Biota of South Carolina. Vol. 1. Clemson, S. Clemson University.",,"wYCqaZcA+7tKZqVSOMaNBCcRKvQIOBzP","wYCqaZcA+7tKZqVSOMaNBCcRKvQIOBzP",
"dde3967c-5ac5-43c1-bcad-d1fc04ada023","SCBI_004.basePlot.bet","D02","SCBI","SCBI_004","S","2015-04-28","2015-05-12","2016-06-02","2015-06-05","ZCodyo9yj614vwZr5YmwzBixEB2iKIUM1s7CdPjubnE=","NEON.BET.D02.002901","TRIAUT","Trichotichnus autumnalis","species",,"Say",,"Ciegler, J. C. 2000. Ground beetles and wrinkled bark beetles of South Carolina (Coleoptera: Geadephaga: Carabidae and Rhysodidae). Biota of South Carolina. Vol. 1. Clemson, S. Clemson University.",,"wYCqaZcA+7tKZqVSOMaNBCcRKvQIOBzP","wYCqaZcA+7tKZqVSOMaNBCcRKvQIOBzP",
"3cbb9189-3c96-4744-bc59-63cfaf55f197","SCBI_007.basePlot.bet","D02","SCBI","SCBI_007","S","2015-04-28","2015-05-12","2016-04-25","2015-05-28","tckDqTjQv3gI17OVDNAsDjkOlMZS5XTtb+wrTM2ymJY=","NEON.BET.D02.002539","NOTAEN","Notiophilus aeneus","species",,"Herbst",,"Bousquet, Y. 2010b. Illustrated Identification Guide to Adults and Larvae of Northeastern North American Ground Beetles (Coleoptera: Carabidae). 1st Ed. Pensoft Publishers, Sofia, Bulgaria.",,"wYCqaZcA+7tKZqVSOMaNBCcRKvQIOBzP","wYCqaZcA+7tKZqVSOMaNBCcRKvQIOBzP",
"3150ea03-be6c-4de0-b7e4-7d4f05a62754","SCBI_007.basePlot.bet","D02","SCBI","SCBI_007","S","2015-04-28","2015-05-12","2016-04-25","2015-05-28","tckDqTjQv3gI17OVDNAsDjkOlMZS5XTtb+wrTM2ymJY=","NEON.BET.D02.002540","NOTAEN","Notiophilus aeneus","species",,"Herbst",,"Bousquet, Y. 2010b. Illustrated Identification Guide to Adults and Larvae of Northeastern North American Ground Beetles (Coleoptera: Carabidae). 1st Ed. Pensoft Publishers, Sofia, Bulgaria.",,"wYCqaZcA+7tKZqVSOMaNBCcRKvQIOBzP","wYCqaZcA+7tKZqVSOMaNBCcRKvQIOBzP",
"cb3e0ba4-9f57-416c-b0d3-32c4f6461f8b","SCBI_007.basePlot.bet","D02","SCBI","SCBI_007","S","2015-04-28","2015-05-12","2016-04-25","2015-05-28","tckDqTjQv3gI17OVDNAsDjkOlMZS5XTtb+wrTM2ymJY=","NEON.BET.D02.002537","NOTAEN","Notiophilus aeneus","species",,"Herbst",,"Bousquet, Y. 2010b. Illustrated Identification Guide to Adults and Larvae of Northeastern North American Ground Beetles (Coleoptera: Carabidae). 1st Ed. Pensoft Publishers, Sofia, Bulgaria.",,"wYCqaZcA+7tKZqVSOMaNBCcRKvQIOBzP","wYCqaZcA+7tKZqVSOMaNBCcRKvQIOBzP",
"01ad4613-4e97-46b5-a514-fcaebd9b0a58","SCBI_007.basePlot.bet","D02","SCBI","SCBI_007","S","2015-04-28","2015-05-12","2016-04-25","2015-05-28","tckDqTjQv3gI17OVDNAsDjkOlMZS5XTtb+wrTM2ymJY=","NEON.BET.D02.002538","NOTAEN","Notiophilus aeneus","species",,"Herbst",,"Bousquet, Y. 2010b. Illustrated Identification Guide to Adults and Larvae of Northeastern North American Ground Beetles (Coleoptera: Carabidae). 1st Ed. Pensoft Publishers, Sofia, Bulgaria.",,"wYCqaZcA+7tKZqVSOMaNBCcRKvQIOBzP","wYCqaZcA+7tKZqVSOMaNBCcRKvQIOBzP",
"aa6ee86c-0016-4f42-b874-bc72df545fc9","SCBI_007.basePlot.bet","D02","SCBI","SCBI_007","S","2015-04-28","2015-05-12","2016-04-25","2015-05-28","tckDqTjQv3gI17OVDNAsDjkOlMZS5XTtb+wrTM2ymJY=","NEON.BET.D02.002542","NOTAEN","Notiophilus aeneus","species",,"Herbst",,"Bousquet, Y. 2010b. Illustrated Identification Guide to Adults and Larvae of Northeastern North American Ground Beetles (Coleoptera: Carabidae). 1st Ed. Pensoft Publishers, Sofia, Bulgaria.",,"wYCqaZcA+7tKZqVSOMaNBCcRKvQIOBzP","wYCqaZcA+7tKZqVSOMaNBCcRKvQIOBzP",
"e9556c3c-3b34-4b54-8a4d-aa770df78ec0","SCBI_007.basePlot.bet","D02","SCBI","SCBI_007","S","2015-04-28","2015-05-12","2016-04-25","2015-05-28","tckDqTjQv3gI17OVDNAsDjkOlMZS5XTtb+wrTM2ymJY=","NEON.BET.D02.002541","NOTAEN","Notiophilus aeneus","species",,"Herbst",,"Bousquet, Y. 2010b. Illustrated Identification Guide to Adults and Larvae of Northeastern North American Ground Beetles (Coleoptera: Carabidae). 1st Ed. Pensoft Publishers, Sofia, Bulgaria.",,"wYCqaZcA+7tKZqVSOMaNBCcRKvQIOBzP","wYCqaZcA+7tKZqVSOMaNBCcRKvQIOBzP",
"74c407a4-f03c-4ac0-a611-4a287153cc57","SCBI_008.basePlot.bet","D02","SCBI","SCBI_008","S","2015-04-28","2015-05-12","2016-04-25","2015-06-01","BDl2KAs5Zr2uFlAO9rT1Ck53ZOk85I50lrpl1lQmUdM=","NEON.BET.D02.002543","NOTAEN","Notiophilus aeneus","species",,"Herbst",,"Bousquet, Y. 2010b. Illustrated Identification Guide to Adults and Larvae of Northeastern North American Ground Beetles (Coleoptera: Carabidae). 1st Ed. Pensoft Publishers, Sofia, Bulgaria.",,"wYCqaZcA+7tKZqVSOMaNBCcRKvQIOBzP","wYCqaZcA+7tKZqVSOMaNBCcRKvQIOBzP",
"ab9f0a62-7431-45a2-9fa0-fd1bd7beeeb8","SCBI_008.basePlot.bet","D02","SCBI","SCBI_008","S","2015-04-28","2015-05-12","2016-05-02","2015-06-01","BDl2KAs5Zr2uFlAO9rT1ClYx9e1P0lJ0ebfsXwoi2BE=","NEON.BET.D02.002751","DICDIL1","Dicaelus dilatatus dilatatus","subspecies",,"Say",,"Ciegler, J. C. 2000. Ground beetles and wrinkled bark beetles of South Carolina (Coleoptera: Geadephaga: Carabidae and Rhysodidae). Biota of South Carolina. Vol. 1. Clemson, S. Clemson University.",,"wYCqaZcA+7tKZqVSOMaNBCcRKvQIOBzP","wYCqaZcA+7tKZqVSOMaNBCcRKvQIOBzP",
