uid,namedLocation,domainID,siteID,plotID,trapID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,setDate,collectDate,eventID,daysOfTrapping,sampleCollected,sampleID,cupStatus,lidStatus,fluidLevel,samplingProtocolVersion,recordedBy,remarks
"4d6447ce-97bf-422a-ac6b-cdf0a294ae00","NOGP_009.basePlot.bet","D09","NOGP","NOGP_009","E","distributed","grasslandHerbaceous",46.801783,-100.914474,"WGS84",20.0,547.1,0.0,"2017-04-18","2017-05-02","NOGP.2017.19",14,"Y","NOGP_009.E.20170502","Ok","Ok","Ok","NEON.DOC.014050vK","78OoQjBVd0oB5KziJD4ELOf8rXjNMV+Pg7W5D5oLtMc=",
"dd118cd9-289c-424c-8b5d-2c8a062615fd","NOGP_001.basePlot.bet","D09","NOGP","NOGP_001","N","distributed","grasslandHerbaceous",46.806092,-100.915421,"WGS84",20.1,526.2,0.1,"2017-04-18","2017-05-02","NOGP.2017.19",14,"Y","NOGP_001.N.20170502","Ok","Ok","Ok","NEON.DOC.014050vK","4TODt8R5shw1rpyhmdHVgRSV+ZP22NnuZJDxc76nsEQ=","MINOR AMOUNT FILTERED WASTE SPILT."
"d2139c74-4a37-4d27-a3bc-d47a90b95f0f","NOGP_002.basePlot.bet","D09","NOGP","NOGP_002","N","distributed","grasslandHerbaceous",46.798586,-100.911965,"WGS84",20.1,553.7,0.1,"2017-04-18","2017-05-02","NOGP.2017.19",14,"Y","NOGP_002.N.20170502","Ok","Ok","Ok","NEON.DOC.014050vK","MfODK+JJmcLqkB6yRFBuRyUZt7q1nY/W",
"19afb70e-4075-4c2a-8527-56b03196e3f6","NOGP_009.basePlot.bet","D09","NOGP","NOGP_009","S","distributed","grasslandHerbaceous",46.801783,-100.914474,"WGS84",20.0,547.1,0.0,"2017-04-18","2017-05-02","NOGP.2017.19",14,"Y","NOGP_009.S.20170502","Ok","Ok","Ok","NEON.DOC.014050vK","78OoQjBVd0oB5KziJD4ELOf8rXjNMV+Pg7W5D5oLtMc=",
"7396112f-eb79-48fe-b7c0-642f3d731c83","NOGP_002.basePlot.bet","D09","NOGP","NOGP_002","W","distributed","grasslandHerbaceous",46.798586,-100.911965,"WGS84",20.1,553.7,0.1,"2017-04-18","2017-05-02","NOGP.2017.19",14,"Y","NOGP_002.W.20170502","Ok","Ok","Ok","NEON.DOC.014050vK","MfODK+JJmcLqkB6yRFBuRyUZt7q1nY/W",
"7f8e8630-087b-463e-a1e4-d4b47a9d4113","NOGP_009.basePlot.bet","D09","NOGP","NOGP_009","N","distributed","grasslandHerbaceous",46.801783,-100.914474,"WGS84",20.0,547.1,0.0,"2017-04-18","2017-05-02","NOGP.2017.19",14,"Y","NOGP_009.N.20170502","Ok","Ok","Ok","NEON.DOC.014050vK","78OoQjBVd0oB5KziJD4ELOf8rXjNMV+Pg7W5D5oLtMc=",
"b90b1118-3cf1-491e-a518-86f6127ff282","NOGP_010.basePlot.bet","D09","NOGP","NOGP_010","W","distributed","grasslandHerbaceous",46.765843,-100.916361,"WGS84",20.0,586.8,0.0,"2017-04-18","2017-05-02","NOGP.2017.19",14,"Y","NOGP_010.W.20170502","Ok","Ok","Ok","NEON.DOC.014050vK","MfODK+JJmcLqkB6yRFBuRyUZt7q1nY/W",
"1b54a3d1-0c2f-4d57-9ee8-42f57313bf2e","NOGP_010.basePlot.bet","D09","NOGP","NOGP_010","N","distributed","grasslandHerbaceous",46.765843,-100.916361,"WGS84",20.0,586.8,0.0,"2017-04-18","2017-05-02","NOGP.2017.19",14,"Y","NOGP_010.N.20170502","Ok","Ok","Ok","NEON.DOC.014050vK","MfODK+JJmcLqkB6yRFBuRyUZt7q1nY/W",
"23c6e587-bd10-4c90-8d6b-8d532db81bb5","NOGP_002.basePlot.bet","D09","NOGP","NOGP_002","E","distributed","grasslandHerbaceous",46.798586,-100.911965,"WGS84",20.1,553.7,0.1,"2017-04-18","2017-05-02","NOGP.2017.19",14,"Y","NOGP_002.E.20170502","Ok","Ok","Ok","NEON.DOC.014050vK","MfODK+JJmcLqkB6yRFBuRyUZt7q1nY/W",
"24c7b4d4-44e4-4d68-94b3-56b0a768e1e0","NOGP_002.basePlot.bet","D09","NOGP","NOGP_002","S","distributed","grasslandHerbaceous",46.798586,-100.911965,"WGS84",20.1,553.7,0.1,"2017-04-18","2017-05-02","NOGP.2017.19",14,"Y","NOGP_002.S.20170502","Ok","Ok","Ok","NEON.DOC.014050vK","MfODK+JJmcLqkB6yRFBuRyUZt7q1nY/W",
"a97e8488-f578-4f53-8eba-ab36d439de2e","NOGP_010.basePlot.bet","D09","NOGP","NOGP_010","S","distributed","grasslandHerbaceous",46.765843,-100.916361,"WGS84",20.0,586.8,0.0,"2017-04-18","2017-05-02","NOGP.2017.19",14,"Y","NOGP_010.S.20170502","Ok","Ok","Ok","NEON.DOC.014050vK","MfODK+JJmcLqkB6yRFBuRyUZt7q1nY/W",
"3e2aff36-a738-49aa-8ee9-596de28f7d31","NOGP_010.basePlot.bet","D09","NOGP","NOGP_010","E","distributed","grasslandHerbaceous",46.765843,-100.916361,"WGS84",20.0,586.8,0.0,"2017-04-18","2017-05-02","NOGP.2017.19",14,"Y","NOGP_010.E.20170502","Ok","Ok","Ok","NEON.DOC.014050vK","MfODK+JJmcLqkB6yRFBuRyUZt7q1nY/W",
"19d71265-ec7e-4445-967e-cb204ea387f0","NOGP_007.basePlot.bet","D09","NOGP","NOGP_007","N","distributed","grasslandHerbaceous",46.811941,-100.904219,"WGS84",20.0,523.7,0.0,"2017-04-18","2017-05-02","NOGP.2017.19",14,"Y","NOGP_007.N.20170502","Ok","Ok","Ok","NEON.DOC.014050vK","MfODK+JJmcLqkB6yRFBuRyUZt7q1nY/W",
"52d841bb-652d-456f-80ee-5702b5b2611e","NOGP_007.basePlot.bet","D09","NOGP","NOGP_007","S","distributed","grasslandHerbaceous",46.811941,-100.904219,"WGS84",20.0,523.7,0.0,"2017-04-18","2017-05-02","NOGP.2017.19",14,"Y","NOGP_007.S.20170502","Ok","Ok","Ok","NEON.DOC.014050vK","MfODK+JJmcLqkB6yRFBuRyUZt7q1nY/W",
"14d864a5-834d-4011-abc3-83e1759e007e","NOGP_007.basePlot.bet","D09","NOGP","NOGP_007","W","distributed","grasslandHerbaceous",46.811941,-100.904219,"WGS84",20.0,523.7,0.0,"2017-04-18","2017-05-02","NOGP.2017.19",14,"Y","NOGP_007.W.20170502","Ok","Ok","Ok","NEON.DOC.014050vK","MfODK+JJmcLqkB6yRFBuRyUZt7q1nY/W",
"8182935b-c6d4-4377-8430-54700419618a","NOGP_006.basePlot.bet","D09","NOGP","NOGP_006","S","distributed","grasslandHerbaceous",46.769079,-100.916842,"WGS84",20.1,588.4,0.1,"2017-04-18","2017-05-02","NOGP.2017.19",14,"Y","NOGP_006.S.20170502","Ok","Ok","Ok","NEON.DOC.014050vK","MfODK+JJmcLqkB6yRFBuRyUZt7q1nY/W",
"aff64b93-3167-4b6a-ba38-03055cd1f856","NOGP_007.basePlot.bet","D09","NOGP","NOGP_007","E","distributed","grasslandHerbaceous",46.811941,-100.904219,"WGS84",20.0,523.7,0.0,"2017-04-18","2017-05-02","NOGP.2017.19",14,"Y","NOGP_007.E.20170502","Ok","Ok","Ok","NEON.DOC.014050vK","MfODK+JJmcLqkB6yRFBuRyUZt7q1nY/W",
