uid,namedLocation,domainID,siteID,plotID,trapID,setDate,collectDate,processingDate,etOHChangeDate,identifiedDate,sampleID,subsampleID,sampleType,taxonID,scientificName,taxonRank,identificationQualifier,scientificNameAuthorship,morphospeciesID,individualCount,identificationReferences,identifiedBy,recordedBy,remarks
"42d7721a-3f82-4bbd-8528-9e8d27c3d546","STEI_007.basePlot.bet","D05","STEI","STEI_007","E","2016-05-25","2016-06-08","2016-06-09","2016-12-29","2016-12-29","STEI_007.E.20160608","uTVelW27vZTi3ilPGeGJk0yYVVpYbYf8IUy48sFkUlk=","carabid","CALFRI","Calosoma frigidum","species",,"Kirby",,1,"Bousquet, Y. 2010b. Illustrated Identification Guide to Adults and Larvae of Northeastern North American Ground Beetles (Coleoptera: Carabidae). 1st Ed. Pensoft Publishers, Sofia, Bulgaria.","Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g","Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g",
"02fd7bdf-4a03-4071-838b-a4be413e9463","STEI_007.basePlot.bet","D05","STEI","STEI_007","N","2016-05-25","2016-06-08","2016-06-09","2016-12-29","2016-12-29","STEI_007.N.20160608","uTVelW27vZTKV6isdmEr2AW7Q1Q1ezYjLKkf57HFp0M=","carabid","PTEPEN","Pterostichus pensylvanicus","species",,"LeConte",,2,"Bousquet, Y. 2010b. Illustrated Identification Guide to Adults and Larvae of Northeastern North American Ground Beetles (Coleoptera: Carabidae). 1st Ed. Pensoft Publishers, Sofia, Bulgaria.","Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g","Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g","both specimens in poor condition"
"12b5f452-196d-4f4c-bfd9-f0e67763e425","STEI_007.basePlot.bet","D05","STEI","STEI_007","N","2016-05-25","2016-06-08","2016-06-09","2016-12-29","2016-12-29","STEI_007.N.20160608","uTVelW27vZTKV6isdmEr2HThBtndY9pXFsvIXiB6xHc=","carabid","CALFRI","Calosoma frigidum","species",,"Kirby",,1,"Bousquet, Y. 2010b. Illustrated Identification Guide to Adults and Larvae of Northeastern North American Ground Beetles (Coleoptera: Carabidae). 1st Ed. Pensoft Publishers, Sofia, Bulgaria.","Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g","Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g",
"e8625bbf-a975-4b7a-9310-2a1d71a05224","STEI_007.basePlot.bet","D05","STEI","STEI_007","W","2016-05-25","2016-06-08","2016-06-09","2016-12-29","2016-12-29","STEI_007.W.20160608","uTVelW27vZQBtKBC6fiX8A94/SGuaFYp7EYdeOsBdg8=","carabid","SPHSTE1","Sphaeroderus stenostomus lecontei","subspecies",,"Dejean",,1,"Lindroth, C. H. 1969. The ground-beetles (Carabidae, excl. Cicindelinae) of Canada and Alaska, parts 1-6. Opuscula E. Entomoligiska Sallskapet.","Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g","Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g",
"5d169ad7-ccff-4b60-89f6-1c031a4dafbb","STEI_007.basePlot.bet","D05","STEI","STEI_007","W","2016-05-25","2016-06-08","2016-06-09","2016-12-29","2016-12-29","STEI_007.W.20160608","uTVelW27vZQBtKBC6fiX8I8L86fj5V3FMpcGLiM+b+g=","carabid","PTECOR1","Pterostichus coracinus","species","cf. species","Newman",,1,"Bousquet, Y. 2010b. Illustrated Identification Guide to Adults and Larvae of Northeastern North American Ground Beetles (Coleoptera: Carabidae). 1st Ed. Pensoft Publishers, Sofia, Bulgaria.","Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g","Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g",
"97ec6816-de04-46d4-b1a0-923370fc7849","STEI_007.basePlot.bet","D05","STEI","STEI_007","E","2016-05-25","2016-06-08","2016-06-09","2016-12-29","2016-12-29","STEI_007.E.20160608","uTVelW27vZTi3ilPGeGJk8orr90tjKk6+IBHUloJGZ4=","carabid","SPHSTE1","Sphaeroderus stenostomus lecontei","subspecies",,"Dejean",,1,"Lindroth, C. H. 1969. The ground-beetles (Carabidae, excl. Cicindelinae) of Canada and Alaska, parts 1-6. Opuscula E. Entomoligiska Sallskapet.","Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g","Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g",
"76ff118b-67f1-4391-94de-0bd338267e42","STEI_002.basePlot.bet","D05","STEI","STEI_002","W","2016-05-25","2016-06-08","2016-06-09","2016-12-29","2016-12-29","STEI_002.W.20160608","aZO6SdKsrByEH1pUhL0qFHvLJPVhOg1o+ad3vSsSD8I=","carabid","HARSOM","Harpalus somnulentus","species","cf. species","Dejean",,1,"Bousquet, Y. 2010b. Illustrated Identification Guide to Adults and Larvae of Northeastern North American Ground Beetles (Coleoptera: Carabidae). 1st Ed. Pensoft Publishers, Sofia, Bulgaria.","Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g","Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g",
"aa0037b5-e74c-4a8a-b5de-4acf66f84b7e","STEI_007.basePlot.bet","D05","STEI","STEI_007","E","2016-05-25","2016-06-08","2016-06-09","2016-12-29","2016-12-29","STEI_007.E.20160608","uTVelW27vZTi3ilPGeGJkzhc8Kr2wkDuHHLZRZIth60=","carabid","CARNEM","Carabus nemoralis nemoralis","subspecies",,"Mueller",,1,"Lindroth, C. H. 1969. The ground-beetles (Carabidae, excl. Cicindelinae) of Canada and Alaska, parts 1-6. Opuscula E. Entomoligiska Sallskapet.","Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g","Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g",
"f8a8a1ed-8537-4989-8dab-fe550db385b9","STEI_022.basePlot.bet","D05","STEI","STEI_022","E","2016-05-25","2016-06-08","2016-06-09","2016-12-29","2016-12-29","STEI_022.E.20160608","HE/LDGsDHdpNgBxZGwTPUryVR0BSP50eo7djIwTrNaA=","carabid","PLADEC","Platynus decentis","species",,"Say",,2,"Lindroth, C. H. 1969. The ground-beetles (Carabidae, excl. Cicindelinae) of Canada and Alaska, parts 1-6. Opuscula E. Entomoligiska Sallskapet.","Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g","Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g",
"882ac4fc-7d7b-4a54-8704-c16da74e39e3","STEI_002.basePlot.bet","D05","STEI","STEI_002","W","2016-05-25","2016-06-08","2016-06-09","2016-12-29","2016-12-29","STEI_002.W.20160608","aZO6SdKsrByEH1pUhL0qFGEHs0lzVDnQ8I0L6b0FU34=","carabid","PTENOV","Pterostichus novus","species","cf. species","Straneo",,1,"Bousquet, Y. 2010b. Illustrated Identification Guide to Adults and Larvae of Northeastern North American Ground Beetles (Coleoptera: Carabidae). 1st Ed. Pensoft Publishers, Sofia, Bulgaria.","Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g","Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g","Could be PTECOR1"
"360a9d73-b476-4d91-a83c-affde9301093","STEI_022.basePlot.bet","D05","STEI","STEI_022","N","2016-05-25","2016-06-08","2016-06-09","2016-12-29","2016-12-29","STEI_022.N.20160608","HE/LDGsDHdpuk3an/9fNUnz/AqIyrG81Tap1jpeIFEY=","carabid","AGOPAL2","Agonum palustre","species","cf. species","Goulet",,1,"Bousquet, Y. 2010b. Illustrated Identification Guide to Adults and Larvae of Northeastern North American Ground Beetles (Coleoptera: Carabidae). 1st Ed. Pensoft Publishers, Sofia, Bulgaria.","Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g","Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g",
"1f9bb57d-f987-4ac6-a0b0-63d270124e80","STEI_022.basePlot.bet","D05","STEI","STEI_022","W","2016-05-25","2016-06-08","2016-06-09","2016-12-29","2016-12-29","STEI_022.W.20160608","HE/LDGsDHdomC6tqEr4f/mlji5b9W3340ZvQqkQvN5w=","carabid","AGOTRI","Agonum trigeminum","species","cf. species","Lindroth",,1,"Lindroth, C. H. 1969. The ground-beetles (Carabidae, excl. Cicindelinae) of Canada and Alaska, parts 1-6. Opuscula E. Entomoligiska Sallskapet.","Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g","Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g","could be AGOFID"
"7ac9810e-9cbf-45ad-b441-ebfacdc7b663","STEI_022.basePlot.bet","D05","STEI","STEI_022","E","2016-05-25","2016-06-08","2016-06-09","2016-12-29","2016-12-29","STEI_022.E.20160608","HE/LDGsDHdpNgBxZGwTPUuhroT4mlov/NRiqnnNeZO8=","carabid","AGOTRI","Agonum trigeminum","species","cf. species","Lindroth",,2,"Lindroth, C. H. 1969. The ground-beetles (Carabidae, excl. Cicindelinae) of Canada and Alaska, parts 1-6. Opuscula E. Entomoligiska Sallskapet.","Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g","Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g","Could be AGOFID"
"6afc1aa5-bc49-4811-8cc1-611f36ffaeec","STEI_022.basePlot.bet","D05","STEI","STEI_022","E","2016-05-25","2016-06-08","2016-06-09","2016-12-29","2016-12-29","STEI_022.E.20160608","HE/LDGsDHdpNgBxZGwTPUl7TbjrPkClqPMHUbvHlK0g=","carabid","AGOGRA","Agonum gratiosum","species",,"Mannerheim",,2,"Bousquet, Y. 2010b. Illustrated Identification Guide to Adults and Larvae of Northeastern North American Ground Beetles (Coleoptera: Carabidae). 1st Ed. Pensoft Publishers, Sofia, Bulgaria.","Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g","Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g",
"2f0a4a06-0f48-4cfc-a645-10c383c4771f","STEI_022.basePlot.bet","D05","STEI","STEI_022","E","2016-05-25","2016-06-08","2016-06-09","2016-12-29","2016-12-29","STEI_022.E.20160608","HE/LDGsDHdpNgBxZGwTPUshg226Pyk6icxEkKaWY+zo=","carabid","ELACLA","Elaphrus clairvillei","species",,"Kirby",,1,"Bousquet, Y. 2010b. Illustrated Identification Guide to Adults and Larvae of Northeastern North American Ground Beetles (Coleoptera: Carabidae). 1st Ed. Pensoft Publishers, Sofia, Bulgaria.","Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g","Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g",
"54fd3a57-482c-49bc-8e25-507cf97edc38","STEI_003.basePlot.bet","D05","STEI","STEI_003","N","2016-05-25","2016-06-08","2016-06-09","2016-12-29","2016-12-29","STEI_003.N.20160608","DWUoTzNcbNm732Py3QBe5+9wuMpi3XSdNFOlf0PvWXE=","carabid","PLADEC","Platynus decentis","species",,"Say",,1,"Lindroth, C. H. 1969. The ground-beetles (Carabidae, excl. Cicindelinae) of Canada and Alaska, parts 1-6. Opuscula E. Entomoligiska Sallskapet.","Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g","Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g",
"6a8aa2fd-e547-444c-a553-b5429c44352a","STEI_004.basePlot.bet","D05","STEI","STEI_004","N","2016-05-25","2016-06-08","2016-06-09","2016-12-29","2016-12-29","STEI_004.N.20160608","kIMktcbzaDc3IGgVHfc16YKRZUb8DEo6vmFUSi6txsI=","carabid","PTEMEL","Pterostichus melanarius melanarius","subspecies",,"Illiger",,1,"Lindroth, C. H. 1969. The ground-beetles (Carabidae, excl. Cicindelinae) of Canada and Alaska, parts 1-6. Opuscula E. Entomoligiska Sallskapet.","Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g","Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g",
"a3df8998-5d02-4d2a-8956-aa19458d04ae","STEI_006.basePlot.bet","D05","STEI","STEI_006","E","2016-05-25","2016-06-08","2016-06-09","2016-12-29","2016-12-29","STEI_006.E.20160608","FSczGbn18rQcL8FcUivsPQMWj9/kZgq+0V9hr4rS60s=","carabid","PTEPEN","Pterostichus pensylvanicus","species",,"LeConte",,1,"Bousquet, Y. 2010b. Illustrated Identification Guide to Adults and Larvae of Northeastern North American Ground Beetles (Coleoptera: Carabidae). 1st Ed. Pensoft Publishers, Sofia, Bulgaria.","Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g","Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g",
"3a43c840-8b23-48ce-9023-d88777a1bc6e","STEI_006.basePlot.bet","D05","STEI","STEI_006","S","2016-05-25","2016-06-08","2016-06-09","2016-12-29","2016-12-29","STEI_006.S.20160608","FSczGbn18rQqSGNc1WPNbaD7hM5nElorxj14R15c32Y=","carabid","PLADEC","Platynus decentis","species",,"Say",,1,"Lindroth, C. H. 1969. The ground-beetles (Carabidae, excl. Cicindelinae) of Canada and Alaska, parts 1-6. Opuscula E. Entomoligiska Sallskapet.","Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g","Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g",
"c8d9583f-6c66-4f67-a1aa-b06e62c90d4e","STEI_009.basePlot.bet","D05","STEI","STEI_009","E","2016-05-25","2016-06-08","2016-06-09","2016-12-29","2016-12-29","STEI_009.E.20160608","IGPPmzEoPod7z9dNRjRz4Gn++ftKtP9L/78lTlW3j8s=","carabid","PLADEC","Platynus decentis","species",,"Say",,1,"Lindroth, C. H. 1969. The ground-beetles (Carabidae, excl. Cicindelinae) of Canada and Alaska, parts 1-6. Opuscula E. Entomoligiska Sallskapet.","Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g","Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g",
"fc112a0c-8655-42da-b521-0405975f8166","STEI_009.basePlot.bet","D05","STEI","STEI_009","N","2016-05-25","2016-06-08","2016-06-09","2016-12-29","2016-12-29","STEI_009.N.20160608","IGPPmzEoPofheTAdCJuKAux6vPJ4s6nvFaS2H9zH04Y=","carabid","PLADEC","Platynus decentis","species",,"Say",,2,"Lindroth, C. H. 1969. The ground-beetles (Carabidae, excl. Cicindelinae) of Canada and Alaska, parts 1-6. Opuscula E. Entomoligiska Sallskapet.","Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g","Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g",
"e2b6c8ae-4ea6-497b-859f-8b72a5bdc8ba","STEI_006.basePlot.bet","D05","STEI","STEI_006","W","2016-05-25","2016-06-08","2016-06-09","2016-12-29","2016-12-29","STEI_006.W.20160608","FSczGbn18rRAkaT8EQXi6Ed0vv+BcsLK3PE98sDryJ0=","carabid","PLADEC","Platynus decentis","species",,"Say",,2,"Lindroth, C. H. 1969. The ground-beetles (Carabidae, excl. Cicindelinae) of Canada and Alaska, parts 1-6. Opuscula E. Entomoligiska Sallskapet.","Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g","Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g",
"1be7efce-1034-4e7f-a5a4-e9d8d3e7a59e","STEI_006.basePlot.bet","D05","STEI","STEI_006","N","2016-05-25","2016-06-08","2016-06-09","2016-12-29","2016-12-29","STEI_006.N.20160608","FSczGbn18rTm32UHUBE++Ff8EXjbPNLcQ0zQsBk65S0=","carabid","PLADEC","Platynus decentis","species",,"Say",,1,"Lindroth, C. H. 1969. The ground-beetles (Carabidae, excl. Cicindelinae) of Canada and Alaska, parts 1-6. Opuscula E. Entomoligiska Sallskapet.","Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g","Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g",
